dataset,size,algo,threshold,trial,time_us
reverse,5500,ms+ins,50,2,240
reverse,5500,ms+ins,50,3,252
nearly,5500,ms,0,1,249
nearly,5500,ms,0,2,210
nearly,5500,ms,0,3,231
nearly,5500,ms+ins,5,1,136
nearly,5500,ms+ins,5,2,126
nearly,5500,ms+ins,5,3,111
nearly,5500,ms+ins,10,1,97
nearly,5500,ms+ins,10,2,93
nearly,5500,ms+ins,10,3,92
nearly,5500,ms+ins,20,1,82
nearly,5500,ms+ins,20,2,83
nearly,5500,ms+ins,20,3,91
nearly,5500,ms+ins,30,1,108
nearly,5500,ms+ins,30,2,101
nearly,5500,ms+ins,30,3,98
nearly,5500,ms+ins,50,1,129
nearly,5500,ms+ins,50,2,121
nearly,5500,ms+ins,50,3,111
random,6000,ms,0,1,557
random,6000,ms,0,2,566
random,6000,ms,0,3,603
random,6000,ms+ins,5,1,450
random,6000,ms+ins,5,2,360
random,6000,ms+ins,5,3,354
random,6000,ms+ins,10,1,348
random,6000,ms+ins,10,2,370
random,6000,ms+ins,10,3,385
random,6000,ms+ins,20,1,378
random,6000,ms+ins,20,2,451
random,6000,ms+ins,20,3,377
random,6000,ms+ins,30,1,409
random,6000,ms+ins,30,2,406
random,6000,ms+ins,30,3,353
random,6000,ms+ins,50,1,428
random,6000,ms+ins,50,2,410
random,6000,ms+ins,50,3,385
reverse,6000,ms,0,1,229
reverse,6000,ms,0,2,211
reverse,6000,ms,0,3,223
reverse,6000,ms+ins,5,1,119
reverse,6000,ms+ins,5,2,115
reverse,6000,ms+ins,5,3,118
reverse,6000,ms+ins,10,1,117
reverse,6000,ms+ins,10,2,99
reverse,6000,ms+ins,10,3,100
reverse,6000,ms+ins,20,1,142
reverse,6000,ms+ins,20,2,121
reverse,6000,ms+ins,20,3,100
reverse,6000,ms+ins,30,1,219
reverse,6000,ms+ins,30,2,189
reverse,6000,ms+ins,30,3,174
reverse,6000,ms+ins,50,1,302
reverse,6000,ms+ins,50,2,304
reverse,6000,ms+ins,50,3,339
nearly,6000,ms,0,1,310
nearly,6000,ms,0,2,279
nearly,6000,ms,0,3,262
nearly,6000,ms+ins,5,1,151
nearly,6000,ms+ins,5,2,132
nearly,6000,ms+ins,5,3,129
nearly,6000,ms+ins,10,1,120
nearly,6000,ms+ins,10,2,127
nearly,6000,ms+ins,10,3,115
nearly,6000,ms+ins,20,1,107
nearly,6000,ms+ins,20,2,110
nearly,6000,ms+ins,20,3,95
nearly,6000,ms+ins,30,1,96
nearly,6000,ms+ins,30,2,91
nearly,6000,ms+ins,30,3,90
nearly,6000,ms+ins,50,1,127
nearly,6000,ms+ins,50,2,115
nearly,6000,ms+ins,50,3,114
random,6500,ms,0,1,487
random,6500,ms,0,2,567
random,6500,ms,0,3,530
random,6500,ms+ins,5,1,487
random,6500,ms+ins,5,2,409
random,6500,ms+ins,5,3,440
random,6500,ms+ins,10,1,418
random,6500,ms+ins,10,2,395
random,6500,ms+ins,10,3,455
random,6500,ms+ins,20,1,447
random,6500,ms+ins,20,2,452
random,6500,ms+ins,20,3,437
random,6500,ms+ins,30,1,424
random,6500,ms+ins,30,2,411
random,6500,ms+ins,30,3,366
random,6500,ms+ins,50,1,365
random,6500,ms+ins,50,2,383
random,6500,ms+ins,50,3,443
reverse,6500,ms,0,1,237
reverse,6500,ms,0,2,210
reverse,6500,ms,0,3,204
reverse,6500,ms+ins,5,1,125
reverse,6500,ms+ins,5,2,113
reverse,6500,ms+ins,5,3,114
reverse,6500,ms+ins,10,1,99
reverse,6500,ms+ins,10,2,102
reverse,6500,ms+ins,10,3,103
reverse,6500,ms+ins,20,1,124
reverse,6500,ms+ins,20,2,108
reverse,6500,ms+ins,20,3,100
reverse,6500,ms+ins,30,1,179
reverse,6500,ms+ins,30,2,169
reverse,6500,ms+ins,30,3,165
reverse,6500,ms+ins,50,1,185
reverse,6500,ms+ins,50,2,177
reverse,6500,ms+ins,50,3,183
nearly,6500,ms,0,1,280
nearly,6500,ms,0,2,254
nearly,6500,ms,0,3,262
nearly,6500,ms+ins,5,1,174
nearly,6500,ms+ins,5,2,229
nearly,6500,ms+ins,5,3,213
nearly,6500,ms+ins,10,1,162
nearly,6500,ms+ins,10,2,157
nearly,6500,ms+ins,10,3,146
nearly,6500,ms+ins,20,1,125
nearly,6500,ms+ins,20,2,122
nearly,6500,ms+ins,20,3,108
nearly,6500,ms+ins,30,1,103
nearly,6500,ms+ins,30,2,116
nearly,6500,ms+ins,30,3,117
nearly,6500,ms+ins,50,1,136
nearly,6500,ms+ins,50,2,130
nearly,6500,ms+ins,50,3,126
random,7000,ms,0,1,701
random,7000,ms,0,2,608
random,7000,ms,0,3,625
random,7000,ms+ins,5,1,448
random,7000,ms+ins,5,2,443
random,7000,ms+ins,5,3,424
random,7000,ms+ins,10,1,393
random,7000,ms+ins,10,2,353
random,7000,ms+ins,10,3,378
random,7000,ms+ins,20,1,432
random,7000,ms+ins,20,2,437
random,7000,ms+ins,20,3,438
random,7000,ms+ins,30,1,469
random,7000,ms+ins,30,2,482
random,7000,ms+ins,30,3,486
random,7000,ms+ins,50,1,541
