dataset,size,algo,trial,time_us
nearly,15500,intro,3,248
nearly,16000,qs,1,403
nearly,16000,qs,2,417
nearly,16000,qs,3,460
nearly,16000,intro,1,283
nearly,16000,intro,2,280
nearly,16000,intro,3,254
nearly,16500,qs,1,401
nearly,16500,qs,2,374
nearly,16500,qs,3,415
nearly,16500,intro,1,255
nearly,16500,intro,2,260
nearly,16500,intro,3,287
nearly,17000,qs,1,423
nearly,17000,qs,2,443
nearly,17000,qs,3,394
nearly,17000,intro,1,302
nearly,17000,intro,2,266
nearly,17000,intro,3,244
nearly,17500,qs,1,390
nearly,17500,qs,2,422
nearly,17500,qs,3,402
nearly,17500,intro,1,286
nearly,17500,intro,2,276
nearly,17500,intro,3,287
nearly,18000,qs,1,501
nearly,18000,qs,2,597
nearly,18000,qs,3,443
nearly,18000,intro,1,348
nearly,18000,intro,2,288
nearly,18000,intro,3,256
nearly,18500,qs,1,581
nearly,18500,qs,2,436
nearly,18500,qs,3,461
nearly,18500,intro,1,275
nearly,18500,intro,2,271
nearly,18500,intro,3,296
nearly,19000,qs,1,468
nearly,19000,qs,2,455
nearly,19000,qs,3,423
nearly,19000,intro,1,270
nearly,19000,intro,2,313
nearly,19000,intro,3,261
nearly,19500,qs,1,448
nearly,19500,qs,2,444
nearly,19500,qs,3,417
nearly,19500,intro,1,350
nearly,19500,intro,2,382
nearly,19500,intro,3,356
nearly,20000,qs,1,551
nearly,20000,qs,2,540
nearly,20000,qs,3,474
nearly,20000,intro,1,307
nearly,20000,intro,2,343
nearly,20000,intro,3,320
nearly,20500,qs,1,484
nearly,20500,qs,2,506
nearly,20500,qs,3,485
nearly,20500,intro,1,335
nearly,20500,intro,2,350
nearly,20500,intro,3,344
nearly,21000,qs,1,524
nearly,21000,qs,2,478
nearly,21000,qs,3,500
nearly,21000,intro,1,356
nearly,21000,intro,2,383
nearly,21000,intro,3,398
nearly,21500,qs,1,651
nearly,21500,qs,2,565
nearly,21500,qs,3,560
nearly,21500,intro,1,321
nearly,21500,intro,2,346
nearly,21500,intro,3,337
