rect,N,estimate,rel_error,rect_area,exact_area
small,59100,0.9427566836,0.0018639177,1.9600000000,0.9445171859
large,59100,0.9598758595,0.0162608726,9.7221359550,0.9445171859
small,59600,0.9419181208,0.0027517393,1.9600000000,0.9445171859
large,59600,0.9426883168,0.0019363005,9.7221359550,0.9445171859
small,60100,0.9410608985,0.0036593166,1.9600000000,0.9445171859
large,60100,0.9314485662,0.0138362964,9.7221359550,0.9445171859
small,60600,0.9425141914,0.0021206544,1.9600000000,0.9445171859
large,60600,0.9499136467,0.0057134596,9.7221359550,0.9445171859
small,61100,0.9390998363,0.0057355754,1.9600000000,0.9445171859
large,61100,0.9534376210,0.0094444392,9.7221359550,0.9445171859
small,61600,0.9415954545,0.0030933597,1.9600000000,0.9445171859
large,61600,0.9329147018,0.0122840371,9.7221359550,0.9445171859
small,62100,0.9394112721,0.0054058453,1.9600000000,0.9445171859
large,62100,0.9446597158,0.0001509024,9.7221359550,0.9445171859
small,62600,0.9480638978,0.0037550528,1.9600000000,0.9445171859
large,62600,0.9368038991,0.0081663806,9.7221359550,0.9445171859
small,63100,0.9453039620,0.0008329929,1.9600000000,0.9445171859
large,63100,0.9555734896,0.0117057729,9.7221359550,0.9445171859
small,63600,0.9387352201,0.0061216099,1.9600000000,0.9445171859
large,63600,0.9312461044,0.0140506512,9.7221359550,0.9445171859
small,64100,0.9416867395,0.0029967125,1.9600000000,0.9445171859
large,64100,0.9415759752,0.0031139833,9.7221359550,0.9445171859
small,64600,0.9489919505,0.0047376211,1.9600000000,0.9445171859
large,64600,0.9505419612,0.0063786825,9.7221359550,0.9445171859
small,65100,0.9381806452,0.0067087617,1.9600000000,0.9445171859
large,65100,0.9498123606,0.0056062238,9.7221359550,0.9445171859
small,65600,0.9444451220,0.0000762971,1.9600000000,0.9445171859
large,65600,0.9465744260,0.0021780865,9.7221359550,0.9445171859
small,66100,0.9439431165,0.0006077914,1.9600000000,0.9445171859
large,66100,0.9576524539,0.0139068597,9.7221359550,0.9445171859
small,66600,0.9451555556,0.0006758688,1.9600000000,0.9445171859
large,66600,0.9488571127,0.0045948627,9.7221359550,0.9445171859
small,67100,0.9407707899,0.0039664668,1.9600000000,0.9445171859
large,67100,0.9494658258,0.0052393329,9.7221359550,0.9445171859
small,67600,0.9452650888,0.0007918362,1.9600000000,0.9445171859
large,67600,0.9519351758,0.0078537374,9.7221359550,0.9445171859
small,68100,0.9397350954,0.0050629999,1.9600000000,0.9445171859
large,68100,0.9589366697,0.0152665129,9.7221359550,0.9445171859
small,68600,0.9449428571,0.0004506760,1.9600000000,0.9445171859
large,68600,0.9465618957,0.0021648201,9.7221359550,0.9445171859
small,69100,0.9438350217,0.0007222359,1.9600000000,0.9445171859
large,69100,0.9352103863,0.0098534995,9.7221359550,0.9445171859
small,69600,0.9504310345,0.0062612398,1.9600000000,0.9445171859
large,69600,0.9391080463,0.0057268831,9.7221359550,0.9445171859
small,70100,0.9454972896,0.0010376769,1.9600000000,0.9445171859
large,70100,0.9426727259,0.0019528072,9.7221359550,0.9445171859
small,70600,0.9492951841,0.0050586673,1.9600000000,0.9445171859
large,70600,0.9544493527,0.0105156020,9.7221359550,0.9445171859
small,71100,0.9387324895,0.0061245010,1.9600000000,0.9445171859
large,71100,0.9403534313,0.0044083419,9.7221359550,0.9445171859
small,71600,0.9460011173,0.0015711005,1.9600000000,0.9445171859
large,71600,0.9589067614,0.0152348477,9.7221359550,0.9445171859
small,72100,0.9479223301,0.0036051691,1.9600000000,0.9445171859
large,72100,0.9474025967,0.0030549055,9.7221359550,0.9445171859
small,72600,0.9478462810,0.0035246527,1.9600000000,0.9445171859
large,72600,0.9502517457,0.0060714192,9.7221359550,0.9445171859
small,73100,0.9409340629,0.0037936027,1.9600000000,0.9445171859
large,73100,0.9437520757,0.0008100542,9.7221359550,0.9445171859
small,73600,0.9375510870,0.0073753014,1.9600000000,0.9445171859
large,73600,0.9452663708,0.0007931936,9.7221359550,0.9445171859
small,74100,0.9347692308,0.0103205694,1.9600000000,0.9445171859
large,74100,0.9392816640,0.0055430669,9.7221359550,0.9445171859
small,74600,0.9479463807,0.0036306325,1.9600000000,0.9445171859
large,74600,0.9303797397,0.0149679078,9.7221359550,0.9445171859
small,75100,0.9441928096,0.0003434308,1.9600000000,0.9445171859
large,75100,0.9414030981,0.0032970155,9.7221359550,0.9445171859
small,75600,0.9417592593,0.0029199327,1.9600000000,0.9445171859
